id,name,category,latitude,longitude,address,district,island
osm-node/4103887171,"Sunset Cove",hotel,19.675822,-80.05148,"34, Wonder Lane, Kingston Bight, Little Cayman",Little Cayman,Little Cayman
osm-way/330602940,"Grandview Condos",hotel,19.312977,-81.385739,"95, Snooze Lane, Seven Mile Beach, George Town",George Town,Grand Cayman
osm-node/7760123992,"Grand Cayman Villas & Condos",villa_rental,19.324316,-81.176654,"846, Frank Sound Road, Grand Cayman, KY1-1702",North Side,Grand Cayman
osm-node/633024492,"Cimboco",restaurant,19.329847,-81.171222,"Lawrence Blvd, Whitehall Estate, West Bay",George Town,Grand Cayman
osm-node/1118465872,"Seven Mile Greens",restaurant,19.341547,-81.379899,"West Bay Road",Seven Mile Beach,Grand Cayman
osm-node/2269076877,"Abacus",restaurant,19.329847,-81.171222,"George Town, Grand Cayman, Cayman Islands",George Town,Grand Cayman
osm-node/3772812142,"Peppers",restaurant,19.288717,-81.373184,"426, West Bay Road, West Bay",George Town,Grand Cayman
osm-node/4108152426,"Seven",restaurant,19.3428,-81.3917,"West Bay Road, Seven Mile Beach",Seven Mile Beach,Grand Cayman
osm-node/4108168119,"Andiamo",restaurant,19.340165,-81.390744,"West Bay Road, Seven Mile Beach",Seven Mile Beach,Grand Cayman
osm-node/4108177404,"Taikun",restaurant,19.329847,-81.171222,"West Bay Road, Seven Mile Beach",Seven Mile Beach,Grand Cayman
osm-node/4108193107,"Blue by Eric Ripert",restaurant,19.335,-81.38,"West Bay Road, Seven Mile Beach",Seven Mile Beach,Grand Cayman
osm-node/4108237889,"The Brasserie, Cricket Square",restaurant,19.292617,-81.377387,"171, Elgin Avenue, Cricket Square, George Town",George Town,Grand Cayman
osm-node/5082785468,"Gino's Pizzeria",restaurant,19.331001,-81.380544,"1102, West Bay Road, Seven Mile Beach",Seven Mile Beach,Grand Cayman
osm-node/5225582155,"Wok-n-Roll",restaurant,19.338511,-81.388069,"Seven Mile Beach, Grand Cayman, Cayman Islands",Seven Mile Beach,Grand Cayman
osm-node/12110306000,"Luca",restaurant,19.340962,-81.389808,"871, West Bay Road, George Town",Seven Mile Beach,Grand Cayman
osm-way/26268669,"Hungry Iguana Restaurant & Bar",restaurant,19.667053,-80.059992,"Little Cayman, Little Cayman, Cayman Islands",Little Cayman,Little Cayman
osm-way/62184806,"Mango Tree",restaurant,19.288235,-81.376074,"518, Shedden Road, George Town",George Town,Grand Cayman
serp-ChIJu8MFbKd9L48RZrzyp3DvcWQ-tum6xb6qe,"Ristorante Pappagallo",restaurant,19.365,-81.402,"444 Conch Point Rd, West Bay, Cayman Islands",West Bay,Grand Cayman
osm-way/373531429,"Italian Kitchen",restaurant,19.303478,-81.098234,"Austin Conolly Road",East End,Grand Cayman
osm-way/373649827,"Lobster Pot",restaurant,19.295,-81.385,"245, North Church Street, George Town",George Town,Grand Cayman
osm-way/374031629,"Casanova By the Sea Ristorante",restaurant,19.287697,-81.373949,"65, North Church Street, George Town",George Town,Grand Cayman
osm-way/541622635,"Heritage Kitchen",restaurant,19.372647,-81.412408,"West Bay, Grand Cayman, Cayman Islands",West Bay,Grand Cayman
osm-way/688041269,"Blue Iguana Grill",restaurant,19.344807,-81.36281,"Grand Cayman, Grand Cayman, Cayman Islands",Grand Cayman,Grand Cayman
osm-node/639174106,"Cafe Del Sol",restaurant,19.288351,-81.372595,"Lawrence Blvd., Whitehall Estate, West Bay",George Town,Grand Cayman
osm-node/5225626263,"Gelato & Co.",restaurant,19.286221,-81.373384,"George Town, Grand Cayman, Cayman Islands",George Town,Grand Cayman
osm-node/1122593419,"Pizza Boat",restaurant,19.285061,-81.373622,"179, West Bay Road, Seven Mile Beach, George Town",George Town,Grand Cayman
osm-node/3764555873,"Subway",restaurant,19.373841,-81.409219,"Town Hall Road, West Bay",West Bay,Grand Cayman
osm-node/5124855881,"KFC",restaurant,19.341415,-81.390924,"Seven Mile Beach, Grand Cayman, Cayman Islands",Seven Mile Beach,Grand Cayman
osm-node/5767247241,"Seven Mile Burger",restaurant,19.339379,-81.388337,"Seven Mile Beach, Grand Cayman, Cayman Islands",Seven Mile Beach,Grand Cayman
osm-node/1118465899,"Craft",bar,19.288224,-81.374378,"George Town, Grand Cayman, Cayman Islands",George Town,Grand Cayman
osm-node/4108177403,"Silver Palm",bar,19.340164,-81.391064,"West Bay Road, Seven Mile Beach",Seven Mile Beach,Grand Cayman
osm-node/10863858390,"GT Outpost",bar,19.288769,-81.373753,"93 N Church St, George Town, George Town",George Town,Grand Cayman
osm-node/12212818455,"Cask",bar,19.285387,-81.373242,"18, Forum Lane, Camana Bay, KY1-9006",George Town,Grand Cayman
osm-node/4231130890,"Cayman Crystal Caves",attraction,19.35,-81.18,"North Side, Grand Cayman, Cayman Islands",North Side,Grand Cayman
serp-ChIJ03tlaISHJY8RRIj3Qp4iRlA-eeq0n9z7d,"Cayman Islands Yacht Club",boat_charter,19.357086,-81.377525,"164 Yacht Dr, Cayman Islands",Grand Cayman,Grand Cayman
osm-node/778613431,"Queen Elizabeth II Botanic Park",activity,19.3208,-81.1692,"Frank Sound Road, George Town, KY1-1105",North Side,Grand Cayman
serp-ChIJr7n0c9z0JY8RVxzqefQ3U90-n7dm76hpf,"Health City Cayman Islands",medical,19.298788,-81.146622,"High Rock, 1283 Sea View Rd, KY1-1005, Cayman Islands",Grand Cayman,Grand Cayman
osm-node/5929630043,"Foster's Pharmacy",medical,19.2844,-81.375978,"63, Dorcy Drive, George Town",George Town,Grand Cayman
osm-node/5124899346,"The Strand Dental Clinic",medical,19.337973,-81.388328,"Seven Mile Beach, Grand Cayman, Cayman Islands",Seven Mile Beach,Grand Cayman
osm-node/3774191416,"Butterfield Bank",financial,19.287781,-81.376035,"12, Albert Panton Street, George Town",George Town,Grand Cayman
osm-way/372221560,"GoCayman Car Rental",transport,19.28626,-81.376579,"416, Shedden Road, Grand Cayman, KY1-1005",George Town,Grand Cayman
serp-ChIJAdEq_D6GJY8Rv-kzFgk7xgg-942dfwxli,"Marshall's Rent-A-Car",transport,19.295947,-81.359208,"Airport Rental Plaza, 257 Roberts Dr, Cayman Islands",Grand Cayman,Grand Cayman
osm-way/62184797,"Foster's Food Fair Airport Center",shopping,19.287236,-81.373899,"63, Dorcy Drive, George Town",George Town,Grand Cayman
osm-way/65746192,"Market Place",shopping,19.709628,-79.820444,"West Side Road, Cayman Brac",Cayman Brac,Cayman Brac
osm-way/689291769,"Kirkconnell's Market",shopping,19.71107,-79.819198,"Dennis Foster Road, Stake Bay",Cayman Brac,Cayman Brac
osm-node/6340463199,"Cayman Cigar co.",shopping,19.283351,-81.252275,"Bodden Town Road",Bodden Town,Grand Cayman
osm-node/3763466374,"Department of Vehicle and Drivers' Licensing",services,19.376437,-81.411256,"Reverend Blackman Drive, West Bay",West Bay,Grand Cayman
osm-node/5124899343,"Spa Esprit",wellness,19.340078,-81.392427,"Seven Mile Beach, Grand Cayman, Cayman Islands",Seven Mile Beach,Grand Cayman
osm-node/4249365095,"DNS Diving",wellness,19.286479,-81.37389,"700, Shamrock Road",George Town,Grand Cayman
serp-ChIJgaprjKaHJY8RxtxRkJTBoLc-vdr1n2veq,"The Falls Steakhouse (formerly Copper Falls Steakhouse)",restaurant,19.32378,-81.23795,"43 Canal Point Drive Grand Cayman KY1, 1301, Cayman Islands",Grand Cayman,Grand Cayman
