id,name,category,subcategory,latitude,longitude,address,district,island,phone,email,website,price_level,rating,description,tags
osm-node/4103887171,Sunset Cove,hotel,resort,19.675822,-80.05148,"34, Wonder Lane, Kingston Bight, Little Cayman",Little Cayman,Little Cayman,+1 345-917-7307,,http://www.sunsetcovelittlecayman.com/,,100,"Sunset Cove is a resort in Little Cayman, Little Cayman. Rated 4.6★ . $$ pricing. Perfect for travelers seeking comfortable lodging in the Cayman Islands.",hotel;resort;little-cayman
osm-way/330602940,Grandview Condos,hotel,resort,19.312977,-81.385739,"95, Snooze Lane, Seven Mile Beach, George Town",George Town,Grand Cayman,+1 345-945-4511,,https://www.grandviewcondos.com/,,100,"Grandview Condos is a resort in George Town, Grand Cayman. Rated 4★ . $$ pricing. Perfect for travelers seeking comfortable lodging in the Cayman Islands.",hotel;resort;grand-cayman
osm-node/7760123992,Grand Cayman Villas & Condos,villa_rental,vacation_rental,19.324316,-81.176654,"846, Frank Sound Road, Grand Cayman, KY1-1702",North Side,Grand Cayman,+1 866-358-8455,reservations@grandcaymanvillas.net,http://www.grandcaymanvillas.com/,,100,"Grand Cayman Villas & Condos is the exclusive booking manager to over 85 oceanfront villas on Grand Cayman island. From cozy beachfront cottages to lavish oceanfront villas, our homes are sure to match any travel budget and group size.",villa_rental;vacation_rental;grand-cayman;holiday home letting agency;villa;rental;vacation;homes;on site services;cayman islands;caribbean
osm-node/633024492,Cimboco,restaurant,restaurant,19.2955,-81.383,"Lawrence Blvd, Whitehall Estate, West Bay",George Town,Grand Cayman,+1 345-947-2782,,http://www.cimboco.com/,,100,"Cimboco is a restaurant in George Town, Grand Cayman. Rated 4.5★ . Moderately priced. Serving delicious meals to locals and visitors alike.",restaurant;grand-cayman;caribbean
osm-node/1118465872,Seven Mile Greens,restaurant,restaurant,19.341547,-81.379899,West Bay Road,Seven Mile Beach,Grand Cayman,+1 345-325-3430,sevenmilegreens@gmail.com,http://sevenmilegreens.ky/,,100,"Seven Mile Greens is a restaurant in Seven Mile Beach, Grand Cayman. Rated 4.6★ . Moderately priced. Serving delicious meals to locals and visitors alike.",restaurant;grand-cayman;salad;soup;sandwich
osm-node/2269076877,Abacus,restaurant,restaurant,19.3268,-81.3815,"George Town, Grand Cayman, Cayman Islands",George Town,Grand Cayman,+1 345-623-8282,,http://www.abacus.ky/,,100,"Abacus is a restaurant in George Town, Grand Cayman. Rated 4.6★ . Moderately priced. Serving delicious meals to locals and visitors alike.",restaurant;grand-cayman;international
osm-node/3772812142,Peppers,restaurant,restaurant,19.318199,-81.382407,"426, West Bay Road, West Bay",George Town,Grand Cayman,+1 345-943-3000,,http://www.peppers.ky/,,100,"Peppers is a restaurant in George Town, Grand Cayman. Rated 4.5★ . Moderately priced. Serving delicious meals to locals and visitors alike.",restaurant;grand-cayman
osm-node/4108152426,Seven,restaurant,restaurant,19.334,-81.3925,"West Bay Road, Seven Mile Beach",Seven Mile Beach,Grand Cayman,+1 345-943-9000,,http://www.ritzcarlton.com/en/hotels/caribbean/grand-cayman/dining/seven,,100,"Seven is a restaurant located in Grand Cayman. Cuisine: steak_house. Hours: Mo-Sa 07:00-11:00, 18:00-22:00; Su 07:00-11:00, 12:00-15:00, 18:00-22:00.",restaurant;grand-cayman;steak_house
osm-node/4108168119,Andiamo,restaurant,restaurant,19.336098,-81.381267,"West Bay Road, Seven Mile Beach",Seven Mile Beach,Grand Cayman,+1 345-815-6912,,http://www.ritzcarlton.com/en/hotels/caribbean/grand-cayman/dining/andiamo?scid=feed67b0-9a2f-4de1-8df6-114544116108,,100,"Andiamo is a restaurant in Seven Mile Beach, Grand Cayman. Rated 4.6★ . Moderately priced. Serving delicious meals to locals and visitors alike.",restaurant;grand-cayman;italian;bar
osm-node/4108177404,Taikun,restaurant,restaurant,19.335756,-81.379352,"West Bay Road, Seven Mile Beach",Seven Mile Beach,Grand Cayman,+1 345-943-9000,,http://www.ritzcarlton.com/en/hotels/caribbean/grand-cayman/dining/taikun,,100,"Taikun is a restaurant in Seven Mile Beach, Grand Cayman. Rated 4★ . Moderately priced. Serving delicious meals to locals and visitors alike.",restaurant;grand-cayman;sushi
osm-node/4108193107,Blue by Eric Ripert,restaurant,restaurant,19.329,-81.389,"West Bay Road, Seven Mile Beach",Seven Mile Beach,Grand Cayman,+1 345-815-6912,,https://www.ritzcarlton.com/en/hotels/gcmrz-the-ritz-carlton-grand-cayman/dining/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,100,"Blue by Eric Ripert is a restaurant in Seven Mile Beach, Grand Cayman. Rated 4.6★ . Moderately priced. Serving delicious meals to locals and visitors alike.",restaurant;grand-cayman;seafood;best;restaurants;fine;dining;dine in;cayman islands;caribbean
osm-node/4108237889,"The Brasserie, Cricket Square",restaurant,restaurant,19.292617,-81.377387,"171, Elgin Avenue, Cricket Square, George Town",George Town,Grand Cayman,+1 345-945-1815,,http://brasseriecayman.com/,,100,"The Brasserie, Cricket Square is a restaurant in George Town, Grand Cayman. Rated 4.7★ . Moderately priced. Serving delicious meals to locals and visitors alike.",restaurant;grand-cayman
